ch_ref,ch_fow,amp_ref,amp_fow,thr_ref,thr_fow,ratio_ref,ratio_fow,width_ref,width_fow,p_ref,p_fow,latency,distance,detect_probability
L10,L9,39.0297582145071,7.10870014465799,20.2532324826473,18.9291529303275,1.92708784871488,0.375542432924651,4.48735106706391,6.78441325107245,49.9311841289523,9.44492663773507,0.6,100,0.301921884686919
L10,K11,39.0297582145071,7.08410828683612,20.2532324826473,21.761052874149,1.92708784871488,0.325540695471204,4.48735106706391,6.03933661102118,49.9311841289523,11.3420128125646,0.4,141.42135623731,0.148791072535648
L8,F11,56.237641453246,8.99225729600953,20.0773360336539,18.9826853615151,2.80105096408108,0.473708388710911,4.4458182025278,3.2783512623898,74.8374032162001,10.8725431804646,0.7,583.09518948453,0.273972602739726
L8,F10,56.237641453246,23.263251935676,20.0773360336539,20.3141715508167,2.80105096408108,1.14517354928711,4.4458182025278,3.41030357218987,74.8374032162001,27.212030970816,0.5,538.51648071345,0.343061346039309
L8,E5,56.237641453246,4.49434187016081,20.0773360336539,19.366623902054,2.80105096408108,0.232066357713702,4.4458182025278,3.22619851310156,74.8374032162001,6.56938653960691,0.6,670.820393249937,0.1697438951757
L8,F5,56.237641453246,4.98391899940441,20.0773360336539,18.2486084616704,2.80105096408108,0.273112276471529,4.4458182025278,4.06994113992609,74.8374032162001,6.14830256104824,0.85,583.09518948453,0.130434782608696
L8,G6,56.237641453246,12.8397855866587,20.0773360336539,17.7172393837248,2.80105096408108,0.724705768690659,4.4458182025278,2.69348575718555,74.8374032162001,13.5193567599762,0.2,447.213595499958,0.200714711137582
L8,H4,56.237641453246,3.19237641453246,20.0773360336539,20.3359532552701,2.80105096408108,0.156981891847393,4.4458182025278,3.65284838530266,74.8374032162001,7.14711137581894,0.35,500,0.12090530077427
L8,M6,56.237641453246,4.46277546158428,20.0773360336539,18.5391906618155,2.80105096408108,0.240721158921791,4.4458182025278,5.14805772180704,74.8374032162001,6.17748659916617,0.15,223.606797749979,0.139368671828469
L8,H6,56.237641453246,8.05062537224538,20.0773360336539,18.9599775680949,2.80105096408108,0.424611545205236,4.4458182025278,4.37541784231431,74.8374032162001,11.1167361524717,0.1,360.555127546399,0.112567004169148
L8,H7,56.237641453246,5.50744490768315,20.0773360336539,19.6548681356961,2.80105096408108,0.280207675251753,4.4458182025278,4.58725898621686,74.8374032162001,7.67004169148303,0.15,316.227766016838,0.135199523525908
L8,J7,56.237641453246,12.2388326384753,20.0773360336539,17.8913402185976,2.80105096408108,0.684064608293196,4.4458182025278,4.35587209463068,74.8374032162001,17.4151280524122,0.05,223.606797749979,0.256104824300179
L8,L9,56.237641453246,11.3359142346635,20.0773360336539,18.9291529303275,2.80105096408108,0.598860090379509,4.4458182025278,6.71713539043894,74.8374032162001,15.1661703394878,0.25,100,0.348421679571173
L8,K9,56.237641453246,9.21381774865992,20.0773360336539,18.0506852843807,2.80105096408108,0.510441437734924,4.4458182025278,5.37746673832291,74.8374032162001,11.2882668254914,0.45,141.42135623731,0.367480643240024
